column,value,precision,recall,fbeta
age,41,0.8333333333333334,0.5932203389830508,0.6930693069306931
age,40,0.84375,0.6585365853658537,0.7397260273972602
age,37,0.7567567567567568,0.6086956521739131,0.674698795180723
age,74,1.0,0.3333333333333333,0.5
age,68,1.0,0.6666666666666666,0.8
age,51,0.8275862068965517,0.6153846153846154,0.7058823529411765
age,27,0.8,0.2,0.32000000000000006
age,34,0.7741935483870968,0.5333333333333333,0.631578947368421
age,32,0.7419354838709677,0.5476190476190477,0.6301369863013699
age,21,1.0,0.0,0.0
age,39,0.72,0.5806451612903226,0.6428571428571428
age,49,0.7878787878787878,0.5909090909090909,0.6753246753246752
age,48,0.8055555555555556,0.6590909090909091,0.7250000000000001
age,36,0.723404255319149,0.5862068965517241,0.6476190476190475
age,35,0.75,0.6666666666666666,0.7058823529411765
age,23,1.0,0.3333333333333333,0.5
age,58,0.8571428571428571,0.6428571428571429,0.7346938775510204
age,43,0.7380952380952381,0.5849056603773585,0.6526315789473685
age,42,0.782608695652174,0.6545454545454545,0.7128712871287128
age,53,0.8333333333333334,0.8064516129032258,0.819672131147541
age,20,1.0,1.0,1.0
age,50,0.8125,0.5,0.6190476190476191
age,44,0.8059701492537313,0.7605633802816901,0.782608695652174
age,46,0.868421052631579,0.673469387755102,0.7586206896551724
age,19,1.0,0.0,0.0
age,33,0.75,0.525,0.6176470588235295
age,30,0.9,0.47368421052631576,0.6206896551724138
age,28,0.45454545454545453,0.3333333333333333,0.3846153846153846
age,61,0.782608695652174,0.6923076923076923,0.7346938775510203
age,60,0.9090909090909091,0.5263157894736842,0.6666666666666666
age,25,1.0,0.3,0.4615384615384615
age,31,0.6428571428571429,0.5454545454545454,0.5901639344262296
age,26,1.0,0.23076923076923078,0.375
age,55,0.7692307692307693,0.6666666666666666,0.7142857142857142
age,52,0.8076923076923077,0.5526315789473685,0.6562500000000001
age,17,1.0,1.0,1.0
age,56,0.896551724137931,0.6842105263157895,0.7761194029850746
age,88,0.0,1.0,0.0
age,63,0.5555555555555556,0.38461538461538464,0.4545454545454546
age,64,1.0,0.5714285714285714,0.7272727272727273
age,45,0.86,0.7049180327868853,0.7747747747747747
age,18,1.0,1.0,1.0
age,71,0.5,0.5,0.5
age,24,1.0,0.0,0.0
age,22,1.0,0.0,0.0
age,69,0.6666666666666666,1.0,0.8
age,47,0.825,0.6226415094339622,0.7096774193548386
age,54,0.8888888888888888,0.6857142857142857,0.7741935483870968
age,38,0.5714285714285714,0.6222222222222222,0.5957446808510639
age,65,0.6666666666666666,0.8571428571428571,0.75
age,57,0.9166666666666666,0.7333333333333333,0.8148148148148148
age,29,0.7647058823529411,0.5416666666666666,0.6341463414634146
age,62,0.625,0.6666666666666666,0.6451612903225806
age,82,1.0,1.0,1.0
age,59,0.6956521739130435,0.5,0.5818181818181818
age,67,0.75,0.75,0.75
age,66,0.8,0.5,0.6153846153846154
age,75,1.0,0.0,0.0
age,72,1.0,1.0,1.0
age,77,1.0,0.5,0.6666666666666666
age,78,1.0,0.5,0.6666666666666666
age,70,0.8,0.8,0.8000000000000002
age,73,1.0,1.0,1.0
age,76,1.0,1.0,1.0
age,80,1.0,1.0,1.0
age,87,1.0,1.0,1.0
age,90,0.0,0.0,0.0
age,79,0.6666666666666666,1.0,0.8
age,81,1.0,1.0,1.0
age,84,1.0,1.0,1.0
age,83,1.0,1.0,1.0
workclass, Private,0.7868162692847125,0.5655241935483871,0.6580645161290322
workclass, Self-emp-inc,0.7933884297520661,0.8135593220338984,0.8033472803347281
workclass, Self-emp-not-inc,0.7731958762886598,0.5208333333333334,0.6224066390041495
workclass, Local-gov,0.75,0.6446280991735537,0.6933333333333332
workclass, State-gov,0.7654320987654321,0.7560975609756098,0.7607361963190185
workclass, Federal-gov,0.8113207547169812,0.671875,0.7350427350427351
workclass, ?,0.6428571428571429,0.47368421052631576,0.5454545454545454
workclass, Without-pay,1.0,1.0,1.0
workclass, Never-worked,1.0,1.0,1.0
fnlgt,343121,1.0,1.0,1.0
fnlgt,116103,1.0,0.0,0.0
fnlgt,188774,1.0,1.0,1.0
fnlgt,199136,1.0,1.0,1.0
fnlgt,193666,1.0,1.0,1.0
fnlgt,121548,1.0,1.0,1.0
fnlgt,216481,1.0,1.0,1.0
fnlgt,190040,1.0,1.0,1.0
fnlgt,177794,1.0,1.0,1.0
fnlgt,143604,1.0,1.0,1.0
fnlgt,99156,1.0,1.0,1.0
fnlgt,45487,1.0,1.0,1.0
fnlgt,131068,1.0,1.0,1.0
fnlgt,117634,1.0,1.0,1.0
fnlgt,81513,1.0,1.0,1.0
fnlgt,531055,1.0,1.0,1.0
fnlgt,247750,1.0,1.0,1.0
fnlgt,114733,1.0,1.0,1.0
fnlgt,220115,1.0,1.0,1.0
fnlgt,502316,1.0,1.0,1.0
fnlgt,150560,1.0,1.0,1.0
fnlgt,306440,0.0,1.0,0.0
fnlgt,204241,1.0,1.0,1.0
fnlgt,126675,1.0,1.0,1.0
fnlgt,73883,1.0,1.0,1.0
fnlgt,22831,1.0,1.0,1.0
fnlgt,42924,1.0,1.0,1.0
fnlgt,155664,1.0,1.0,1.0
fnlgt,83141,1.0,1.0,1.0
fnlgt,95855,1.0,1.0,1.0
fnlgt,43712,1.0,1.0,1.0
fnlgt,745817,1.0,1.0,1.0
fnlgt,203924,1.0,1.0,1.0
fnlgt,94342,0.0,1.0,0.0
fnlgt,86648,1.0,1.0,1.0
fnlgt,223934,1.0,1.0,1.0
fnlgt,202296,1.0,1.0,1.0
fnlgt,178385,0.0,1.0,0.0
fnlgt,181758,1.0,1.0,1.0
fnlgt,133969,0.5,1.0,0.6666666666666666
fnlgt,389755,1.0,1.0,1.0
fnlgt,100228,1.0,1.0,1.0
fnlgt,164190,0.0,1.0,0.0
fnlgt,101602,1.0,0.0,0.0
fnlgt,342824,1.0,1.0,1.0
fnlgt,153143,1.0,1.0,1.0
fnlgt,129707,1.0,1.0,1.0
fnlgt,148751,1.0,1.0,1.0
fnlgt,240323,1.0,1.0,1.0
fnlgt,209370,1.0,1.0,1.0
fnlgt,40052,1.0,1.0,1.0
fnlgt,199444,1.0,1.0,1.0
fnlgt,166330,1.0,1.0,1.0
fnlgt,194504,1.0,1.0,1.0
fnlgt,184665,1.0,1.0,1.0
fnlgt,227471,1.0,1.0,1.0
fnlgt,197918,1.0,1.0,1.0
fnlgt,176185,1.0,0.0,0.0
fnlgt,344804,1.0,1.0,1.0
fnlgt,178510,1.0,1.0,1.0
fnlgt,278720,1.0,0.0,0.0
fnlgt,218962,1.0,1.0,1.0
fnlgt,254293,1.0,1.0,1.0
fnlgt,122575,1.0,1.0,1.0
fnlgt,170169,1.0,1.0,1.0
fnlgt,318975,1.0,1.0,1.0
fnlgt,257250,1.0,1.0,1.0
fnlgt,176063,0.0,0.0,0.0
fnlgt,112795,1.0,1.0,1.0
fnlgt,39054,1.0,0.0,0.0
fnlgt,272019,1.0,1.0,1.0
fnlgt,145463,1.0,1.0,1.0
fnlgt,66356,1.0,1.0,1.0
fnlgt,213308,1.0,1.0,1.0
fnlgt,89389,1.0,1.0,1.0
fnlgt,225544,0.0,1.0,0.0
fnlgt,204536,1.0,1.0,1.0
fnlgt,136996,1.0,1.0,1.0
fnlgt,186385,1.0,1.0,1.0
fnlgt,187097,0.0,1.0,0.0
fnlgt,190023,1.0,0.0,0.0
fnlgt,65730,1.0,1.0,1.0
fnlgt,264600,1.0,1.0,1.0
fnlgt,462255,1.0,1.0,1.0
fnlgt,102106,1.0,1.0,1.0
fnlgt,167999,1.0,1.0,1.0
fnlgt,258883,1.0,1.0,1.0
fnlgt,180624,1.0,1.0,1.0
fnlgt,84409,1.0,1.0,1.0
fnlgt,109462,1.0,1.0,1.0
fnlgt,191277,1.0,0.6666666666666666,0.8
fnlgt,413345,1.0,1.0,1.0
fnlgt,197054,1.0,0.0,0.0
fnlgt,443546,1.0,1.0,1.0
fnlgt,81487,1.0,0.0,0.0
fnlgt,207438,1.0,1.0,1.0
fnlgt,220187,1.0,1.0,1.0
fnlgt,446358,1.0,0.0,0.0
fnlgt,257855,1.0,1.0,1.0
fnlgt,93202,1.0,1.0,1.0
fnlgt,391468,1.0,1.0,1.0
fnlgt,292110,1.0,1.0,1.0
fnlgt,207537,1.0,1.0,1.0
fnlgt,85272,1.0,0.0,0.0
fnlgt,271714,1.0,1.0,1.0
fnlgt,27242,1.0,1.0,1.0
fnlgt,45316,1.0,1.0,1.0
fnlgt,204235,1.0,1.0,1.0
fnlgt,300528,1.0,1.0,1.0
fnlgt,137974,1.0,1.0,1.0
fnlgt,44075,1.0,1.0,1.0
fnlgt,24266,1.0,1.0,1.0
fnlgt,234780,1.0,1.0,1.0
fnlgt,425627,1.0,1.0,1.0
fnlgt,317425,1.0,1.0,1.0
fnlgt,437909,1.0,1.0,1.0
fnlgt,56118,1.0,1.0,1.0
fnlgt,170182,1.0,1.0,1.0
fnlgt,38488,1.0,1.0,1.0
fnlgt,225515,1.0,1.0,1.0
fnlgt,196975,1.0,0.0,0.0
fnlgt,203078,1.0,1.0,1.0
fnlgt,73266,1.0,1.0,1.0
fnlgt,169104,1.0,1.0,1.0
fnlgt,168211,1.0,0.0,0.0
fnlgt,297735,1.0,1.0,1.0
fnlgt,300871,1.0,1.0,1.0
fnlgt,203313,1.0,1.0,1.0
fnlgt,184285,1.0,1.0,1.0
fnlgt,164043,1.0,1.0,1.0
fnlgt,82488,1.0,1.0,1.0
fnlgt,48972,1.0,1.0,1.0
fnlgt,216999,1.0,1.0,1.0
fnlgt,25864,1.0,1.0,1.0
fnlgt,121124,1.0,0.0,0.0
fnlgt,223367,1.0,1.0,1.0
fnlgt,114520,1.0,1.0,1.0
fnlgt,25216,1.0,1.0,1.0
fnlgt,202115,1.0,0.0,0.0
fnlgt,66634,1.0,1.0,1.0
fnlgt,181659,1.0,1.0,1.0
fnlgt,179117,1.0,1.0,1.0
fnlgt,223019,1.0,1.0,1.0
fnlgt,113838,0.0,1.0,0.0
fnlgt,174524,1.0,0.0,0.0
fnlgt,187088,1.0,1.0,1.0
fnlgt,126991,1.0,1.0,1.0
fnlgt,83064,1.0,0.0,0.0
fnlgt,387779,1.0,1.0,1.0
fnlgt,142647,1.0,1.0,1.0
fnlgt,159724,1.0,1.0,1.0
fnlgt,32311,1.0,1.0,1.0
fnlgt,22042,1.0,1.0,1.0
fnlgt,104196,1.0,1.0,1.0
fnlgt,155913,1.0,1.0,1.0
fnlgt,166809,1.0,0.0,0.0
fnlgt,83434,1.0,0.0,0.0
fnlgt,174754,1.0,1.0,1.0
fnlgt,342752,1.0,1.0,1.0
fnlgt,175648,1.0,1.0,1.0
fnlgt,40641,1.0,1.0,1.0
fnlgt,185283,1.0,1.0,1.0
fnlgt,235431,1.0,1.0,1.0
fnlgt,166386,0.0,1.0,0.0
fnlgt,224472,1.0,1.0,1.0
fnlgt,104892,1.0,0.0,0.0
fnlgt,33887,1.0,1.0,1.0
fnlgt,73471,1.0,1.0,1.0
fnlgt,155697,1.0,1.0,1.0
fnlgt,367200,1.0,1.0,1.0
fnlgt,177907,1.0,0.0,0.0
fnlgt,95835,1.0,1.0,1.0
fnlgt,108328,1.0,1.0,1.0
fnlgt,119033,1.0,0.0,0.0
fnlgt,178322,1.0,1.0,1.0
fnlgt,243178,1.0,1.0,1.0
fnlgt,233472,1.0,1.0,1.0
fnlgt,248990,1.0,0.0,0.0
fnlgt,283757,1.0,1.0,1.0
fnlgt,127306,1.0,1.0,1.0
fnlgt,287927,1.0,1.0,1.0
fnlgt,194726,1.0,1.0,1.0
fnlgt,409172,0.0,1.0,0.0
fnlgt,409189,1.0,0.0,0.0
fnlgt,189680,1.0,1.0,1.0
fnlgt,49593,1.0,1.0,1.0
fnlgt,205601,1.0,1.0,1.0
fnlgt,105803,1.0,1.0,1.0
fnlgt,127779,1.0,1.0,1.0
fnlgt,250967,1.0,1.0,1.0
fnlgt,187881,1.0,1.0,1.0
fnlgt,38606,1.0,1.0,1.0
fnlgt,130620,1.0,1.0,1.0
fnlgt,183345,1.0,1.0,1.0
fnlgt,307638,1.0,1.0,1.0
fnlgt,211668,1.0,0.0,0.0
fnlgt,214385,1.0,1.0,1.0
fnlgt,49092,1.0,1.0,1.0
fnlgt,29557,1.0,1.0,1.0
fnlgt,26254,1.0,1.0,1.0
fnlgt,134768,0.0,1.0,0.0
fnlgt,183618,1.0,1.0,1.0
fnlgt,121313,1.0,1.0,1.0
fnlgt,25649,1.0,1.0,1.0
fnlgt,95552,1.0,1.0,1.0
fnlgt,102092,1.0,1.0,1.0
fnlgt,165309,1.0,1.0,1.0
fnlgt,515629,1.0,1.0,1.0
fnlgt,159001,1.0,1.0,1.0
fnlgt,100135,1.0,1.0,1.0
fnlgt,125461,1.0,1.0,1.0
fnlgt,235167,1.0,1.0,1.0
fnlgt,156430,1.0,1.0,1.0
fnlgt,220696,1.0,1.0,1.0
fnlgt,94880,1.0,1.0,1.0
fnlgt,175262,1.0,1.0,1.0
fnlgt,169249,1.0,1.0,1.0
fnlgt,115945,1.0,0.0,0.0
fnlgt,203783,1.0,1.0,1.0
fnlgt,140644,1.0,0.0,0.0
fnlgt,292303,1.0,1.0,1.0
fnlgt,320984,1.0,1.0,1.0
fnlgt,201138,1.0,1.0,1.0
fnlgt,207637,1.0,1.0,1.0
fnlgt,92036,1.0,0.0,0.0
fnlgt,190543,1.0,1.0,1.0
fnlgt,199832,1.0,1.0,1.0
fnlgt,207668,1.0,1.0,1.0
fnlgt,163002,1.0,1.0,1.0
fnlgt,99970,1.0,1.0,1.0
fnlgt,227282,1.0,1.0,1.0
fnlgt,266043,1.0,1.0,1.0
fnlgt,277328,1.0,1.0,1.0
fnlgt,158948,1.0,1.0,1.0
fnlgt,52753,1.0,1.0,1.0
fnlgt,226443,0.0,0.0,0.0
fnlgt,104193,1.0,1.0,1.0
fnlgt,749105,1.0,1.0,1.0
fnlgt,120408,1.0,1.0,1.0
fnlgt,224421,1.0,0.0,0.0
fnlgt,222993,1.0,1.0,1.0
fnlgt,109351,1.0,1.0,1.0
fnlgt,152182,1.0,1.0,1.0
fnlgt,34878,1.0,1.0,1.0
fnlgt,266860,1.0,1.0,1.0
fnlgt,103389,1.0,1.0,1.0
fnlgt,226789,0.0,1.0,0.0
fnlgt,235853,1.0,1.0,1.0
fnlgt,346406,1.0,1.0,1.0
fnlgt,136841,1.0,1.0,1.0
fnlgt,129629,1.0,1.0,1.0
fnlgt,191188,1.0,1.0,1.0
fnlgt,160631,1.0,1.0,1.0
fnlgt,200689,1.0,1.0,1.0
fnlgt,263568,1.0,1.0,1.0
fnlgt,135388,1.0,1.0,1.0
fnlgt,186959,0.0,1.0,0.0
fnlgt,218596,1.0,1.0,1.0
fnlgt,239705,1.0,1.0,1.0
fnlgt,170244,1.0,1.0,1.0
fnlgt,174478,1.0,1.0,1.0
fnlgt,251579,1.0,1.0,1.0
fnlgt,188786,1.0,1.0,1.0
fnlgt,352606,1.0,1.0,1.0
fnlgt,201723,1.0,1.0,1.0
fnlgt,194096,1.0,1.0,1.0
fnlgt,225970,1.0,0.0,0.0
fnlgt,105592,1.0,1.0,1.0
fnlgt,116143,1.0,1.0,1.0
fnlgt,59469,1.0,1.0,1.0
fnlgt,221026,1.0,1.0,1.0
fnlgt,102076,1.0,1.0,1.0
fnlgt,36503,1.0,1.0,1.0
fnlgt,182521,1.0,1.0,1.0
fnlgt,236784,1.0,1.0,1.0
fnlgt,154641,1.0,1.0,1.0
fnlgt,288825,1.0,1.0,1.0
fnlgt,151985,1.0,1.0,1.0
fnlgt,207782,1.0,1.0,1.0
fnlgt,412379,1.0,1.0,1.0
fnlgt,176965,1.0,1.0,1.0
fnlgt,184135,1.0,1.0,1.0
fnlgt,248448,1.0,1.0,1.0
fnlgt,201682,1.0,1.0,1.0
fnlgt,166636,1.0,1.0,1.0
fnlgt,509364,1.0,1.0,1.0
fnlgt,160662,1.0,1.0,1.0
fnlgt,214881,1.0,1.0,1.0
fnlgt,109511,1.0,1.0,1.0
fnlgt,113466,1.0,1.0,1.0
fnlgt,116707,1.0,1.0,1.0
fnlgt,172666,1.0,0.0,0.0
fnlgt,235371,1.0,1.0,1.0
fnlgt,132481,1.0,1.0,1.0
fnlgt,233369,1.0,1.0,1.0
fnlgt,248113,1.0,1.0,1.0
fnlgt,243872,1.0,0.5,0.6666666666666666
fnlgt,30771,1.0,1.0,1.0
fnlgt,143804,1.0,1.0,1.0
fnlgt,162297,1.0,1.0,1.0
fnlgt,210562,1.0,1.0,1.0
fnlgt,190511,1.0,1.0,1.0
fnlgt,198965,1.0,1.0,1.0
fnlgt,35032,1.0,1.0,1.0
fnlgt,273771,1.0,1.0,1.0
fnlgt,135607,1.0,1.0,1.0
fnlgt,370990,1.0,1.0,1.0
fnlgt,188808,1.0,0.0,0.0
fnlgt,315406,1.0,1.0,1.0
fnlgt,56150,1.0,1.0,1.0
fnlgt,428499,1.0,0.0,0.0
fnlgt,181344,1.0,1.0,1.0
fnlgt,130302,1.0,1.0,1.0
fnlgt,230475,1.0,1.0,1.0
fnlgt,291808,1.0,1.0,1.0
fnlgt,211440,1.0,1.0,1.0
fnlgt,34632,1.0,1.0,1.0
fnlgt,211915,1.0,1.0,1.0
fnlgt,125831,1.0,1.0,1.0
fnlgt,212235,1.0,1.0,1.0
fnlgt,170850,1.0,1.0,1.0
fnlgt,143342,1.0,1.0,1.0
fnlgt,119565,1.0,1.0,1.0
fnlgt,57145,1.0,1.0,1.0
fnlgt,133876,1.0,1.0,1.0
fnlgt,203525,1.0,1.0,1.0
fnlgt,431513,1.0,0.0,0.0
fnlgt,106935,1.0,1.0,1.0
fnlgt,164991,1.0,1.0,1.0
fnlgt,355569,1.0,1.0,1.0
fnlgt,77884,1.0,1.0,1.0
fnlgt,279680,1.0,1.0,1.0
fnlgt,37238,1.0,1.0,1.0
fnlgt,116878,1.0,1.0,1.0
fnlgt,306646,1.0,1.0,1.0
fnlgt,210736,0.5,1.0,0.6666666666666666
fnlgt,212864,1.0,0.5,0.6666666666666666
fnlgt,110490,0.0,1.0,0.0
fnlgt,152071,1.0,1.0,1.0
fnlgt,647882,1.0,1.0,1.0
fnlgt,180505,1.0,1.0,1.0
fnlgt,163237,1.0,0.5,0.6666666666666666
fnlgt,95455,1.0,1.0,1.0
fnlgt,162343,1.0,1.0,1.0
fnlgt,216181,1.0,1.0,1.0
fnlgt,144154,1.0,1.0,1.0
fnlgt,357437,1.0,1.0,1.0
fnlgt,206861,1.0,1.0,1.0
fnlgt,244689,1.0,1.0,1.0
fnlgt,60668,1.0,1.0,1.0
fnlgt,375515,1.0,1.0,1.0
fnlgt,113543,1.0,0.0,0.0
fnlgt,359193,1.0,1.0,1.0
fnlgt,112164,1.0,1.0,1.0
fnlgt,221172,1.0,1.0,1.0
fnlgt,281356,1.0,1.0,1.0
fnlgt,34180,1.0,1.0,1.0
fnlgt,151105,1.0,1.0,1.0
fnlgt,30731,1.0,1.0,1.0
fnlgt,192039,1.0,1.0,1.0
fnlgt,227890,0.0,1.0,0.0
fnlgt,146576,1.0,0.0,0.0
fnlgt,110164,1.0,1.0,1.0
fnlgt,389843,1.0,1.0,1.0
fnlgt,293802,1.0,1.0,1.0
fnlgt,129912,1.0,1.0,1.0
fnlgt,232719,0.0,1.0,0.0
fnlgt,163998,1.0,0.0,0.0
fnlgt,320376,1.0,1.0,1.0
fnlgt,184756,1.0,1.0,1.0
fnlgt,72119,1.0,1.0,1.0
fnlgt,217893,1.0,1.0,1.0
fnlgt,414525,1.0,1.0,1.0
fnlgt,185744,1.0,1.0,1.0
fnlgt,135458,1.0,1.0,1.0
fnlgt,222254,1.0,1.0,1.0
fnlgt,152621,1.0,1.0,1.0
fnlgt,229716,1.0,1.0,1.0
fnlgt,38950,1.0,1.0,1.0
fnlgt,154950,1.0,1.0,1.0
fnlgt,206609,1.0,0.0,0.0
fnlgt,257337,1.0,1.0,1.0
fnlgt,199539,1.0,0.0,0.0
fnlgt,234663,1.0,1.0,1.0
fnlgt,434467,1.0,1.0,1.0
fnlgt,160594,1.0,1.0,1.0
fnlgt,183850,1.0,1.0,1.0
fnlgt,174395,0.0,1.0,0.0
fnlgt,145175,1.0,1.0,1.0
fnlgt,142712,1.0,0.0,0.0
fnlgt,203289,1.0,1.0,1.0
fnlgt,106092,1.0,1.0,1.0
fnlgt,235786,1.0,1.0,1.0
fnlgt,289909,1.0,1.0,1.0
fnlgt,204621,1.0,1.0,1.0
fnlgt,211762,1.0,0.0,0.0
fnlgt,272944,1.0,1.0,1.0
fnlgt,219122,1.0,1.0,1.0
fnlgt,47415,1.0,1.0,1.0
fnlgt,142470,1.0,1.0,1.0
fnlgt,305498,1.0,1.0,1.0
fnlgt,151094,1.0,1.0,1.0
fnlgt,124680,1.0,1.0,1.0
fnlgt,41763,1.0,1.0,1.0
fnlgt,227615,1.0,1.0,1.0
fnlgt,356619,1.0,0.0,0.0
fnlgt,98989,1.0,1.0,1.0
fnlgt,24824,1.0,1.0,1.0
fnlgt,259301,1.0,1.0,1.0
fnlgt,94055,1.0,1.0,1.0
fnlgt,148995,1.0,0.5,0.6666666666666666
fnlgt,175696,1.0,1.0,1.0
fnlgt,27624,1.0,1.0,1.0
fnlgt,143058,1.0,0.0,0.0
fnlgt,34273,1.0,1.0,1.0
fnlgt,219967,1.0,1.0,1.0
fnlgt,141511,1.0,0.0,0.0
fnlgt,66118,1.0,1.0,1.0
